k,H,alpha,eta
4.817109468132446004e+00,3.202312628380544979e+00,1.896883745573221480e+00,1.010586172214900813e+01
7.536981997037972558e-01,2.471019890718372469e+00,1.795925051248095095e+00,1.346561543798869209e+01
2.842933576698354337e-01,2.822749772376126121e+00,1.122956595795026047e+00,1.068372331028471756e+01
4.234208179100132696e+00,4.551373365704372453e+00,1.649680101086921757e+00,2.907027915097186721e+00
4.100863525717412195e+00,2.404565822598425662e+00,1.958124318838729394e+00,6.585483601296555634e+00
3.656032185192058304e+00,3.266111763807234780e+00,7.480321843495751910e-01,4.060509449187930997e+00
1.976133967751439457e-01,1.169104362765683414e+00,2.937844922080155019e-01,7.581452042600972163e+00
1.587453055636948163e+00,4.681210470156646153e+00,8.589290067263772865e-01,7.049617949947354134e+00
4.808608055627654032e+00,3.827955780795902374e+00,8.256180724827300033e-02,5.999124362106051933e+00
9.134161338484468873e-01,2.612390625309944703e+00,6.765862562148401427e-01,8.845454091858469425e+00
3.394210923304823435e+00,1.459770515466859875e+00,8.219752236894175557e-01,1.446840842132936089e+01
2.814740094021917494e-01,1.489117425931786087e+00,1.773255979796793280e+00,1.251697882486418223e+01
4.438149891780075684e+00,3.654559586416412653e+00,1.521293669492802536e+00,1.891472478222732789e+00
2.304775228645580487e+00,4.479567571414695415e-01,9.649522231787259763e-01,9.875170300360478493e+00
1.241259907495416009e-01,3.291225600258333994e+00,7.964025673393861915e-01,4.576595789247583035e+00
3.826744754400084325e+00,2.348130517848027399e+00,2.293530260812211008e-01,4.695948780015636537e+00
4.404860649891258362e+00,3.197919511624788047e+00,4.567554284771844220e-01,7.651903328801791915e+00
4.420503548885704959e+00,2.787887489533889873e+00,1.066841060775001626e+00,1.090502466822112737e+01
3.413847766495506697e+00,1.470008392953390253e+00,7.012899200254876231e-01,9.857086505895230388e+00
3.848579290337974967e+00,4.292161809055575539e+00,1.210453608813398807e+00,8.431691066093511822e+00
5.325818572637558423e-01,3.603127111342427913e-01,1.977807474471928728e-01,5.835953487564476738e+00
3.432810054023565982e+00,3.515680088786484969e+00,3.034369891811079523e-01,1.556240531545501238e+00
2.179637084393736490e+00,1.376715653845737575e-01,8.388018280478688471e-01,2.867742513312508734e+00
1.343207632937163609e+00,3.302110163501802642e+00,1.625094973345750704e+00,1.013256476641367954e+01
7.603315340125881006e-02,2.517501075169865654e-01,1.834780955461103646e+00,2.681574593778931259e+00
2.732689912306415003e+00,8.841309994155435170e-01,1.285321819629848372e+00,1.344708957802452076e+01
3.971305750539952939e+00,2.848692059099737772e+00,4.684151890555507958e-01,4.695641785996371276e+00
2.268028112411226704e+00,3.745479784200442364e+00,6.215283255741934632e-01,9.033590416133431944e+00
2.974661160459833198e+00,1.623040250734795409e+00,3.680723657201319110e-01,6.595928996476550843e+00
5.831696908592552964e-01,3.772719278486477368e+00,4.567357684020336706e-01,1.219723443355145953e+01
2.030827117785228175e+00,2.070270904766778886e-01,1.307721381347831668e+00,7.859826975391314363e+00
2.968610450344611351e+00,3.274703857797572670e+00,1.100684517146452102e+00,4.807795603316797894e+00
4.830712455598566102e+00,2.735666428683805051e+00,1.460108425525563858e+00,1.246886738342490730e+01
1.882221120951950377e+00,3.858481464879908174e-01,1.108900528850663925e+00,1.096183963065885969e+01
2.736440007409528086e+00,1.795595455953214792e+00,3.827065562872400406e-01,6.727923375111757309e+00
8.001638376362855132e-01,2.179187829548220545e+00,6.482001351663708721e-01,8.593469598835190570e-01
1.964541349797036318e+00,4.570775912558431742e+00,1.160776755240890301e+00,6.210243802578224503e+00
2.811998727650117491e+00,1.759608428521903134e+00,5.843975736989017733e-01,1.230147145665344866e+01
4.217032931047969835e-01,2.495431554090838056e+00,2.218028640387286199e-01,1.154483957587451748e+01
3.695090703956080080e+00,5.550656010384660277e-01,5.709673265549812804e-01,1.306554248361211457e+01
2.490970857780399061e+00,3.642731563171077713e-01,1.868700319200711668e+00,3.798775289360027507e+00
4.356790309344665602e+00,3.139034004667150768e+00,5.507249523625650234e-01,1.251269836245201361e+01
1.366105117859478080e+00,4.900535873759007899e+00,9.960796424106528324e-01,5.210186982446302295e+00
3.338195239969286465e+00,1.624095029360815623e+00,1.165335280416610386e+00,3.753818434739280008e+00
2.925602376405497029e+00,1.112406151273603649e+00,5.338259171934764957e-01,6.243877953840844874e+00
4.038223184882379968e+00,2.388737538604808641e+00,1.800660573340162607e-02,1.192294439526929750e+01
2.437415814920972590e+00,2.826870708338995453e+00,4.700644770081918722e-02,3.366746380831617369e+00
5.244310594537403558e-01,3.148018390254800458e+00,1.633515331437168205e+00,5.449347532294601670e+00
1.152726462378077743e+00,6.131329918573112936e-01,1.814732792390166161e+00,8.287385577592228714e+00
2.776574366573640429e+00,1.954264781873728429e+00,1.553208452135910633e+00,1.196358069343013675e+01
1.636145676846146424e+00,6.965686089116734925e-01,1.607948912021559984e+00,1.006950503716533163e+01
4.887992234356374865e+00,1.470117193221363472e+00,8.052552438086382214e-01,3.147244407262941301e+00
4.940947762454045988e-01,4.999211043754904438e+00,1.976379021494137245e+00,6.505402136735075835e+00
1.395081492934426404e+00,4.161380295385874728e-01,1.416010177913513912e+00,5.936187709437274584e+00
2.698966377846478970e+00,7.719126395050306400e-01,7.079992764392419868e-01,1.846712138399894787e+00
8.576358990149750561e-01,2.254136650121254526e+00,1.868874697408162477e+00,1.311056772257936842e+01
4.627581008339148205e+00,3.767957128997393657e+00,6.487468578386836882e-01,3.437545174011086502e+00
2.915811895593587444e+00,4.236032934481367640e+00,1.739085908850137141e+00,1.188919774605689206e+01
6.195578399129586522e-01,3.919813992151455651e+00,2.743825638497310315e-02,1.005576107009804687e+01
1.518583887980553326e+00,2.432804126326813421e+00,1.463074228553559619e+00,1.286368283710927862e+01
3.457064168663485759e+00,2.699808992471812719e+00,1.184067486688503923e+00,7.402239788476970617e+00
4.384925859739447596e+00,7.696871652670216335e-01,2.373401296754868994e-01,8.197857642598146199e+00
1.076126082712084653e+00,3.108904917246568367e+00,1.691820838611082456e+00,1.315799904121688257e+01
4.139553032323632920e+00,4.133823755685555490e+00,8.153841109107542451e-01,6.848276906403313546e+00
4.912122757276335960e+00,4.666971260315783354e+00,2.937325421690111238e-01,4.608675117063710580e+00
2.811743042432607087e+00,1.866689496530623271e-01,6.684738565217651640e-02,9.130969993724418643e+00
1.608092152906346106e+00,2.089456442964357841e+00,1.127673309781748179e+00,1.142741503084089416e+01
1.210746721538575432e+00,3.020416570663795763e+00,1.221395806607805223e+00,1.326517766804057352e+01
3.273098929502587850e+00,3.802803297283012807e+00,3.669507764666017913e-01,1.669166252067397327e+00
1.868217982219323003e+00,3.557933443017367026e+00,1.628196073534318167e+00,1.227097216695951687e+01
1.353920125595551971e+00,5.547755143485193496e-01,7.920607520205324992e-01,6.372172929843214817e+00
3.798105967816102879e+00,3.426385029979986285e+00,9.794598080146001973e-01,8.591282796219266160e+00
3.797013716985584875e+00,2.698233554870545170e+00,6.085463345006791869e-01,1.160414188958576709e+01
3.508231826640545226e+00,3.352821461019121596e+00,5.161734077394104503e-01,1.022430393282502692e+01
2.968307973592409610e+00,7.217263653204754048e-01,1.788545317743927887e+00,5.599033420680835427e+00
3.381653153196883643e+00,2.834142456132381582e+00,1.357003073556612538e+00,3.608724335714370568e+00
2.600992665123187386e+00,2.466366275359743288e+00,1.277861892534358335e+00,5.119944824586975862e+00
4.620548730983588648e+00,3.025826331472217134e+00,4.290647675019751972e-01,2.017616362293232157e+00
3.117099412830847349e+00,4.351869112267363171e+00,9.061547922399679766e-01,1.449562411926054395e+01
5.073949193941558189e-01,4.825131426572541571e+00,6.414923888655144069e-01,9.908738592456977301e+00
6.569880855298497746e-01,3.753883706075540783e+00,1.281556157266013241e+00,1.188000976688703503e+01
4.332571145325315065e+00,4.545637748663543531e-01,4.289203752266106395e-01,1.154727122212641177e+01
3.166474301632510979e+00,4.273643627997555150e+00,1.373451316169549408e-01,9.683555139191026839e+00
2.645958349562582690e+00,9.524948598705569314e-01,7.622983416910416032e-01,1.387860072417476864e+01
2.305369906254106649e+00,4.007700847106599795e+00,1.020631866831424706e+00,5.333682524579518081e+00
1.869288600842345105e-01,2.011006259697599052e+00,9.394187573584715789e-01,1.094910343263478048e+01
4.833141266116290247e+00,2.853802938167875336e+00,2.980751882743932768e-01,1.032983091453144198e+01
9.971708359344434447e-01,1.514361714988254004e+00,8.845289527019812859e-01,1.275086733537321670e+01
4.667515877882632225e+00,2.699251373690430889e+00,1.812505031056782734e+00,7.394672148787082122e+00
1.489727103569039146e+00,2.018963403821187885e-01,1.511285661538585012e+00,5.493831542410631208e+00
7.122436607418113352e-01,9.666835472281430919e-01,1.647060704932041375e+00,7.422515807109403063e+00
2.785359000369536542e+00,4.923484466701719242e+00,1.668869481444875458e+00,1.287422046413175991e+01
2.658559456185737718e-02,1.302763308938288400e+00,6.091011433426296584e-02,1.456175060678506483e+01
3.529145366297945063e+00,2.607266333577120676e+00,1.611883317064809473e+00,1.475741241869389953e+01
1.014145349240425542e+00,3.430424356779474326e+00,1.292332745184063381e+00,4.843082923845029697e+00
2.182246574176964771e+00,1.587311632287274898e-01,9.866467694749010420e-01,1.498674108848250341e+01
3.548264802434230702e+00,2.867534236593650920e+00,1.638425149234810307e+00,5.098880572680818624e+00
2.636024726705284760e+00,2.937357148686462693e+00,1.900166420704821002e+00,1.171350153669401806e+01
1.154668139347978073e+00,3.708458742669336949e+00,1.954153147314248162e-01,1.473353179972414750e+01
9.057453876133249038e-01,2.474401457191437004e+00,1.210510523701336494e+00,1.221709560158472030e+01
6.725430332235885489e-01,1.464650952395932793e+00,1.441055069054384186e+00,9.410372102877429867e+00
4.229594356940980404e+00,2.014154644412708084e+00,6.059333213936624052e-01,8.952692925958679382e+00
4.596821370991166944e+00,3.428983493450703079e+00,8.793822305687370999e-01,8.460784846743063525e-01
3.718501693559874699e+00,2.341400595970788423e-01,6.002045715008152982e-01,3.196014482530500800e+00
2.963812215885178736e-01,3.626114631140715971e+00,1.891648487639259191e+00,3.366345596142947372e+00
1.843502449148942235e+00,2.477961555226891210e+00,4.869756015135349170e-01,6.952446123120259447e-01
3.676534822412797165e+00,4.565538096881581076e+00,1.789743564235144246e+00,9.202491822271348099e+00
3.451371282337027502e+00,4.746449703030836131e-01,7.971847997898771077e-01,7.008767924963255957e+00
1.581164895938249160e+00,1.004602825132972166e+00,1.267515935216916745e+00,9.375702883289157796e+00
3.893525406889731588e+00,7.554181783067781542e-01,1.750392147612373384e+00,1.140984563597887025e+01
4.122431487461162725e+00,3.513133392717787018e+00,2.772242390296517645e-01,1.425446209846868051e+01
3.825492265195743702e+00,1.505099973753267095e+00,3.646582880989697184e-01,1.242871206027315800e+01
2.946655260238937757e+00,2.731921037347353476e+00,6.344031499886293446e-01,1.439745248457124482e+01
3.435422661708010583e+00,4.671089771765211118e+00,1.714908851681651525e+00,3.362537057393251594e+00
4.182742552426635285e+00,1.781346070683784255e+00,4.808761108634223014e-01,3.983475128683309663e+00
3.992124977615337578e+00,4.808921904819990267e+00,6.839965972976957964e-01,4.866881778638178169e+00
3.605234604955590005e-01,2.938164093148722955e+00,1.871017777474664578e+00,8.597556850821922225e+00
1.140030993556887112e-01,2.326847993255715785e+00,7.149599510204838193e-01,1.146313739773489537e+01
2.025242290542492274e+00,2.109707395511145389e+00,8.244030533334882893e-01,9.475120953263374446e+00
5.857084224793699390e-01,4.335015850200227838e+00,8.212424656574524029e-01,3.289557281305483194e+00
3.676028528999913725e+00,4.790027578795204022e+00,1.602882808762196021e-01,1.054039244269726172e+00
1.133737956504410338e+00,1.569007749526322382e+00,5.525184207287798799e-01,1.282584433175028682e+00
7.287533090599553898e-01,1.984225998479440811e+00,2.634092527142168905e-01,1.736500804134324394e+00
4.809788130137317985e+00,1.414375914378938726e+00,9.552780767712452104e-01,2.348969320843887321e+00
1.977361520916493198e+00,1.784440801360067663e+00,1.509171180640708210e+00,1.081376259705300047e+00
4.571536143414236530e-01,1.766225368857665234e+00,1.689678453422500004e+00,1.248143091211860067e+00
5.768541905205724074e-01,2.579406959243740083e+00,1.858436260918449490e+00,1.242619847504678354e+01
5.192353016889703632e-01,3.076572551722840831e+00,4.116859524301197393e-01,1.084659210585503963e+00
1.067128556819624041e+00,1.411697094228564486e+00,1.843470232928742680e+00,2.993512512041935913e+00
4.930064103824628674e+00,4.510986705413426279e+00,7.310706774097568417e-01,2.003813475488679607e+00
2.936893544819459745e+00,1.369098142662974027e+00,2.641273449578678267e-01,6.053272949709587181e-01
3.164357042780094886e+00,2.084894466793500989e+00,1.637557476579163840e+00,1.043800820819958375e+01
3.688070230260864779e+00,1.003141037951665648e+00,1.000769831189649572e-01,9.905826243466378855e+00
1.941202444386647352e+00,4.404778159410255967e+00,9.760372545619389051e-02,1.086875929424909160e+01
1.042769120624502527e-01,4.310450294211702449e+00,7.883693657874779603e-03,9.096120742432697526e+00
2.931903593338550107e-01,4.335488611292086070e+00,1.953521317609729913e-02,4.426748672455592448e+00
2.659023572253949030e+00,8.341248924635439321e-01,2.459608872912868449e-01,1.416425311508621832e+01
3.744348049282141933e+00,4.367250844898834528e-01,5.219311572913385433e-01,1.017839984984732560e+01
4.330382754702531756e+00,1.125289439959510585e+00,1.425966229138708963e+00,1.302312543201528250e+01
2.800207655024361308e+00,8.051294460261828601e-01,1.850025526963128275e-01,3.483818015013612213e-01
3.286493903079262591e+00,4.182365742074972692e-01,1.214733814908208753e-01,7.169836885370151514e+00
2.306512814404738432e+00,2.884443983855412785e+00,1.630674371641510190e+00,4.292089622993441544e+00
4.848578143919630712e+00,3.679456441974326975e+00,3.312230933521476128e-01,7.804140680582151823e+00
1.326353059397439971e+00,1.328326171248014775e+00,1.421246286033568396e-01,6.334724563450823354e+00
3.083855060989658448e+00,3.073158986997934328e+00,1.131823251392774399e+00,7.031293757375139952e-01
4.354180170266622518e+00,6.904548746143120974e-01,1.516189915416414014e+00,9.390636834501217223e+00
1.782669501774509113e+00,2.812580787874388033e+00,6.931710157227295444e-01,3.671072852039892531e+00
1.422125562106360541e-01,3.978485657818051635e+00,3.828125474314532095e-01,1.353532899416911484e+01
4.586511129554266653e+00,3.058133226045297803e+00,9.098931561564360671e-01,5.541416595648792409e+00
4.377903181984135195e+00,4.352072046433721475e-01,1.950513021586913531e+00,3.942990646541935540e+00
4.265114775119247525e+00,2.291566510003705481e+00,1.037621561831245653e-01,1.193754556180657733e+00
2.867375312703008827e+00,2.931534444587141408e+00,5.881268592748802870e-01,3.106027016032661958e+00
9.085520880807621547e-01,6.526340396585114112e-01,1.207880440540753275e+00,5.183443168366902443e-01
3.539148572302996509e+00,8.353797149899703234e-01,1.029528991262605553e+00,6.943456533609044357e+00
4.245831608269355684e+00,4.482396962288817122e+00,1.007563858711674643e+00,1.308402468536572272e+01
9.911218806355992506e-01,4.934718860932219897e+00,8.827646812767309115e-02,1.301921049896214555e+01
8.069612271546314775e-01,4.889172062036242217e+00,1.928449047457942767e+00,2.256586090401937028e+00
3.349824275413592289e+00,1.185886885143982994e-01,5.414671439375218220e-02,4.645205481383754886e+00
1.004414240369498890e+00,1.401044935299095906e+00,1.907206287576299397e+00,9.594728099280633415e+00
1.485968843380750082e+00,2.838025759322546193e+00,2.849131781023859222e-01,9.745527442057429823e+00
2.416224610924283311e+00,2.415153026379638579e+00,1.475486739107085610e+00,6.634267724442922010e+00
7.286265058031279329e-01,4.494350255164155650e-01,2.766962810381832227e-01,1.004300926276573414e+00
3.632149942663329689e+00,9.370465217815876491e-01,1.474915393224294213e+00,1.016760142795137511e+01
1.012990804145700308e+00,1.489614537469107880e+00,1.348468307615652284e+00,1.765548266989252379e+00
3.485862897086565937e+00,2.430346305450780342e+00,6.555896543316792613e-01,3.717181248335983401e+00
1.243112954326806019e+00,3.202767009350406813e-01,1.958015700017575522e+00,8.389646795522329725e+00
3.994004122340761409e+00,4.587680024896887865e+00,3.906339446535653792e-01,7.126276859853950540e+00
2.209404475776325594e+00,2.788757606197040495e+00,8.589189332978848235e-01,9.433581491909089678e+00
8.267694406946600738e-01,1.440926758781246875e+00,3.539231379176965842e-01,5.994702079257779870e-01
3.831817665863935130e+00,3.046801045235503658e+00,1.531625756329846766e+00,6.766570942804495115e-01
9.265090814101514249e-01,3.398498103665194670e+00,2.786630556491596078e-01,1.087183217259383206e+01
4.979438820554181744e-01,3.081124590693068210e+00,1.938412810824493571e+00,4.550086331068973422e+00
4.263248738574716867e+00,4.516021124505824602e+00,7.598371829784578146e-01,1.495026081902961046e+00
2.676242737449995523e+00,1.449306070097514221e+00,1.473408749113339855e+00,9.207852621424716943e+00
2.984821978372498741e+00,2.719979424571808746e+00,1.895575101440618582e-01,9.653054580224177172e+00
1.426493560598529609e+00,1.085726344981729374e+00,1.772586578130095347e+00,2.573263902910972067e+00
5.418427013434879980e-01,3.578179018570881720e-01,5.290975866139737693e-01,6.876110199784105426e+00
2.479520566081871547e+00,1.267991954413404176e+00,1.848023187743508045e+00,2.541925556424953658e+00
3.915392741622211847e+00,3.161191897713349519e+00,1.730693145232662156e+00,1.166568716244974802e+01
4.401704751681060124e+00,1.421453891629629762e+00,1.571577185688985079e+00,3.260308297931771015e+00
4.936992863413352417e+00,3.413919657367949334e+00,7.220659528105841662e-01,1.319479076861109945e+01
2.458520559895887914e+00,1.811588216182492994e+00,1.271849958454496221e+00,3.563989482036868495e+00
2.295762894041180502e+00,3.087673101723237501e+00,1.124082825893269799e+00,1.428867151984887229e+01
3.994217337440138405e+00,4.806161462697920328e+00,1.815699404319169874e+00,1.479499413373587302e+01
2.382652509645507566e-01,4.420339465654251399e+00,6.989932358857893213e-01,5.448226803673485108e+00
1.237452526621181992e+00,3.713114340119449519e+00,1.469531352642234667e+00,1.431659217532320483e+01
2.347930936072216701e-01,1.189248589641909382e+00,7.869359498577022105e-01,6.224257690908760132e+00
4.075686167514311897e+00,3.730861406364725852e+00,7.321302427515787858e-01,1.154002921118376790e+01
9.317496374603876363e-01,1.898938532302679727e+00,1.481897500509129495e+00,2.736165716484238342e+00
2.890074375299084064e+00,4.092013911947645965e+00,4.862159637744685181e-01,7.908302073978850544e+00
4.314677333277693316e-01,1.439638425046710357e-01,1.482674966685331164e-01,2.118427737189929161e+00
4.062765232997175069e+00,2.878942584125812498e+00,5.333150933598449495e-01,1.023823452749863350e+01
2.103853436162880453e+00,3.476472697679797275e+00,1.769667541773009223e+00,5.264868721988285039e+00
3.361703898752895547e+00,1.204792065749113572e+00,7.840776044425885605e-01,1.061389517884035349e+00
1.446028222712013811e+00,3.254030358127000255e+00,1.408126281791856504e+00,1.286319929899743997e+01
3.178455744698051699e+00,4.730016420606876437e+00,1.687685338296824433e+00,9.645280797478161361e+00
4.464785923122627231e+00,1.778347217650448231e+00,1.500105321789744428e+00,1.028828372192526963e+01
3.840246026760850473e+00,1.881271138387773822e+00,1.955681816020593766e+00,1.131681408390030974e+01
1.543242127988498913e+00,2.717743402211457937e+00,1.343100942388409269e+00,1.068945297636337699e+01
3.793977012698756646e+00,4.192925963206894924e-01,2.370680909628248845e-01,2.745931613475955491e+00
4.603508177895590414e+00,2.963129191543200314e+00,1.914820370579339848e+00,1.030825746932709919e+01
3.982907415325002143e-01,1.489957518582601059e+00,1.827512512496265451e-01,9.801830533755801156e+00
3.329190846269301396e+00,4.052683387423142491e+00,9.708451026945714712e-01,1.599434077525574427e+00
4.218735568797604252e+00,3.020964217969542176e+00,4.256062089797942871e-01,6.852113275531266368e+00
3.137864342544095742e+00,4.875999587531973489e+00,7.036113095573841569e-01,1.168901831123567447e+01
4.486011558256970955e-01,1.586772773499839806e+00,1.558782737865966883e-01,2.051763689326722595e+00
1.836055402725341290e+00,4.476899035182650977e+00,3.282738727567531267e-01,2.272181957238530892e+00
4.141842071024385064e+00,4.487845968281633624e+00,3.368238083013497253e-01,5.335606613519884078e+00
2.148760412832128708e+00,2.280525348718274170e+00,1.863409992742053545e+00,2.278112095276696447e+00
4.110782209780893481e+00,2.850100998172907740e+00,8.051853441341985107e-01,9.869301904423551264e+00
1.432187752012826776e+00,4.911048207109866226e+00,2.667039296445414820e-01,8.581801568117587209e+00
2.331994943246950669e+00,1.681326208302453384e+00,8.398027651708466212e-01,5.125143966428570508e+00
1.425316708991440917e+00,1.720641942446699657e+00,1.394418151268384198e+00,4.254322636642523747e+00
2.053067393579201649e+00,4.735929329079628047e+00,3.330879356683984494e-01,1.238595540792326410e+01
2.983443469818617189e+00,2.932849731135541926e+00,2.521770544370185441e-01,5.923638556646857900e+00
2.639009682851980010e+00,3.061779524282363774e+00,1.186107690605831211e+00,7.439859255610586919e-01
8.660754007661567444e-01,4.387155712290348397e+00,1.880658911712722592e+00,7.053895477075088571e+00
1.823808627392516479e+00,5.399385696234527687e-01,6.544344357805265133e-01,8.003654925515560237e+00
2.016612272631762792e+00,3.246838956017487732e+00,1.479047547181645328e+00,8.644833674633288112e+00
4.154872875342322303e+00,1.214885524767687741e+00,7.495771468933909443e-01,1.086471095065287251e+01
1.681796222683412001e+00,1.049682865299754297e+00,7.494170561427597743e-01,1.863422995235404667e+00
4.803098192460301341e+00,3.737677361161739764e+00,5.263060791646394510e-01,1.150644700778932972e+01
2.094980742505824001e+00,4.819572887230138214e+00,1.410683824045967594e+00,7.428679182688060045e+00
3.103382912890661594e+00,4.220281103310189685e+00,3.294033378505112353e-01,6.948074137258189786e+00
3.325802165996351312e-02,2.474036953181722787e+00,1.955747268381844650e+00,1.473984147159745106e+01
3.321065505570127474e+00,3.086415653281966875e+00,1.889173999433457762e-01,1.185899825185811629e+01
4.134396291821700764e+00,1.104958566718191815e+00,1.873390044098874885e-01,2.415174621411839251e+00
1.899402039724294555e+00,4.210668111616407971e-01,1.361103753578478681e-01,1.273002769923582811e+01
1.867163344919130497e+00,2.910757331077140186e+00,1.751017325674241176e+00,1.498619509690636775e+01
1.414060890017581729e+00,4.593382081862838362e+00,1.565488542078102618e+00,1.143222264325992477e+01
2.101357751728500034e+00,3.496935736243749648e+00,5.688951379426121502e-01,4.945713331340320984e+00
9.884490405972061744e-01,2.455199883309497011e+00,1.857547637527313666e+00,2.659607567993782506e-01
7.971241384849298006e-01,2.772098171266546451e+00,2.787487788852351933e-01,1.491342906824757897e+01
1.868820409577743868e+00,9.473462608513862904e-01,1.932385532031192454e+00,2.342849033366309452e+00
1.506408583619265107e+00,4.382703484987683140e+00,6.046287120883433452e-01,5.272194187151969302e+00
1.484294740807263979e+00,2.538481318559639544e+00,2.778376721051678544e-02,6.427827777841176093e+00
1.671461136741106968e-01,5.971226407098294553e-01,9.435995235903369416e-01,1.417155100626673025e+01
4.510437085090187814e+00,4.501423806166505059e+00,3.833926894634718252e-01,1.284654859973403340e+01
4.574994028930336576e+00,7.717822987627533937e-01,1.075245000434271292e+00,1.410100283119441933e+01
3.445895261380786501e+00,4.265768219897915436e+00,1.455940129364959423e+00,1.434675674044770943e+01
1.945112001407514501e+00,1.732488152619531485e+00,1.346693737630805465e+00,4.357013642779106188e-01
4.908138706584614042e+00,6.395603584202924630e-01,1.284540206413776753e+00,3.826152357202189380e-01
3.345404052182271992e-01,3.309673514302056585e+00,3.554980218206320597e-01,1.435836914810438714e+01
1.726648239816399588e+00,4.269105103534172052e+00,1.356727178761518715e-02,1.186594778775874914e+01
4.565416973647431931e+00,3.639842473843206250e+00,1.286302117613445040e+00,5.645526084458854399e+00
1.543351568038494603e+00,2.013629790674622999e+00,5.395866165742160270e-01,7.041353539135469575e+00
2.466431339612420892e+00,2.628951496022168488e+00,1.337776455946685150e+00,2.574827543112044204e+00
4.011544192574818979e+00,2.534496565469652296e+00,1.584685620005629181e+00,9.264916343990668324e+00
2.475076278922417661e+00,4.525280884153877636e+00,3.023024326220575819e-01,5.831363760766882010e+00
4.201320364423833276e+00,3.383661825254530076e+00,1.501821852675012892e+00,1.280825387395964654e+01
1.336289645489062428e-01,4.983535437548193059e+00,6.867608656175863135e-01,4.740243216113496416e+00
2.861521062505109292e+00,3.270366858021475309e+00,4.103744101038171443e-01,1.485730098299821833e+00
7.365084338443858014e-01,2.009589487851714651e+00,3.636979599407446084e-01,2.050965763482417881e+00
4.751612274673364666e-01,5.665140266046359008e-01,1.679436999407204478e-01,9.625477365912665562e+00
4.997874893591156109e+00,2.894968481875138000e+00,1.098113170805163907e-01,1.697917119672581743e-01
4.635603060485680160e+00,8.826808973880961862e-01,1.638884222255540646e+00,1.044085602199861107e+01
4.022797020061517514e+00,8.034477272970675932e-01,1.294948715967216168e+00,3.422044927600176312e-02
3.533042415936609171e+00,4.268210143616614438e+00,4.666321682645526714e-01,1.336453821858231628e+01
2.219995848105154934e+00,8.128247416077137855e-01,2.139662530930008799e-03,4.055020894993588421e+00
3.618291007688923866e+00,3.067199176472759969e+00,1.039028654229682935e+00,2.962534521275992816e+00
2.753305009035481365e+00,1.725918699431926218e+00,1.296227984754153351e+00,7.442281212878959495e-01
2.223274090172463691e+00,2.175082391016598393e+00,2.617623374145259252e-01,1.467318644950103845e+01
2.103373220971935798e+00,4.436099508313361417e-01,1.022496364453514994e+00,8.849140646905789609e+00
1.276446749312741824e+00,2.981934512903560819e+00,1.986839203794671382e+00,1.334711749234733347e+01
1.318058187728763819e+00,2.948661119273429776e+00,4.934919557780796939e-01,1.403491023859969467e+01
3.536994762650246038e+00,3.013042156680736383e+00,1.374129712913912282e+00,8.190853066849333786e+00
4.274590887986811971e+00,1.512118556454453477e+00,1.335996728897710373e-01,1.048905283732138116e+01
8.544492616592117562e-01,4.483316160191213484e+00,1.545553759139113081e+00,6.038493327290094470e+00
4.501278154575096696e-02,7.854832390889213700e-01,4.986518819659997437e-01,9.929455755321857424e+00
